Previous,Current,HighestNext,CurrentProb,HighestProb,IsSame
Under30_MI235,Under30_MI233,END_STATE,0.2944111776447106,0.4406187624750499,False
Under30_MI233,Under30_MI200,END_STATE,0.017244542285819116,0.5348865651562404,False
Under30_MI200,Under30_MI231,END_STATE,0.026290400385914132,0.6181862035697058,False
START_STATE,Under60_MI233,Under30_MI227,0.008564376768811527,0.041521238866685295,False
START_STATE,Under60_MI227,Under30_MI227,0.03701539956151291,0.041521238866685295,False
START_STATE,Under60_WA235,Under30_MI227,0.0006976783440266919,0.041521238866685295,False
Under60_WA235,Under60_WA233,END_STATE,0.26705756929637525,0.4173773987206823,False
START_STATE,Under60_IL237,Under30_MI227,3.094541042053875e-05,0.041521238866685295,False
START_STATE,Under30_IL220,Under30_MI227,0.00016973088745810648,0.041521238866685295,False
START_STATE,Under30_IL218,Under30_MI227,0.0007970787532563012,0.041521238866685295,False
START_STATE,Under60_MI200,Under30_MI227,0.002186809003051405,0.041521238866685295,False
Under60_MI200,Under60_MI227,END_STATE,0.15577487329954653,0.5945585489463857,False
START_STATE,Under60_IL163,Under30_MI227,0.0004923133475994801,0.041521238866685295,False
START_STATE,Under30_WA233,Under30_MI227,0.002516893380870485,0.041521238866685295,False
Under30_WA233,Under30_WA231,END_STATE,0.07945322511747116,0.5704826997009825,False
Under30_WA231,Under30_WA235,END_STATE,0.07595526561043803,0.5531220876048463,False
Under30_WA235,Under30_WA235,END_STATE,0.09456740442655935,0.5164319248826291,False
START_STATE,Under60_WA227,Under30_MI227,0.005847744829772111,0.041521238866685295,False
START_STATE,Under60_WA178,Under30_MI227,1.7817054484552614e-05,0.041521238866685295,False
START_STATE,Over60_WA231,Under30_MI227,0.00012847034023072147,0.041521238866685295,False
Over60_WA231,Over60_WA206,END_STATE,0.012195121951219513,0.37317073170731707,False
START_STATE,Under30_MN240,Under30_MI227,0.00023631040684775047,0.041521238866685295,False
Under30_MN240,Under30_MN227,END_STATE,0.008771929824561403,0.6988304093567251,False
Under30_MN227,Under30_MN231,END_STATE,0.005610098176718092,0.884992987377279,False
Under30_MN231,Under30_MN234,END_STATE,0.014446227929373997,0.7126805778491172,False
START_STATE,Under60_WA228,Under30_MI227,0.0029585687841454473,0.041521238866685295,False
Under60_WA228,Under60_WA228,END_STATE,0.20804313637384858,0.6845652662323074,False
Under60_WA228,Under60_WA220,END_STATE,0.011233430689732645,0.6845652662323074,False
Under60_WA220,Under60_WA220,END_STATE,0.21428571428571427,0.61003861003861,False
Under60_WA220,Under60_WA213,END_STATE,0.006435006435006435,0.61003861003861,False
Under60_WA213,Under60_WA235,END_STATE,0.00043084877208099956,0.564196467040069,False
Under60_WA235,Under60_WA233,END_STATE,0.26705756929637525,0.4173773987206823,False
Under60_WA233,Under60_WA231,END_STATE,0.09331900411964894,0.4751925488088841,False
Under60_WA231,Under60_WA233,END_STATE,0.21023688663282572,0.4885786802030457,False
Under60_WA233,Under60_WA77,END_STATE,0.00017911517105498835,0.4751925488088841,False
Under60_WA77,Under60_WA213,END_STATE,0.14285714285714285,0.42857142857142855,False
Under60_WA213,Under60_WA227,END_STATE,0.024989228780697974,0.564196467040069,False
Under60_WA227,Under60_WA213,END_STATE,0.013387374109555391,0.7882584131662982,False
Under60_WA213,Under60_WA241,END_STATE,0.00021542438604049978,0.564196467040069,False
Under60_WA241,Under60_WA213,Under60_WA241,0.001422475106685633,0.5675675675675675,False
Under60_WA213,Under60_WA213,END_STATE,0.33670831538130114,0.564196467040069,False
START_STATE,Under30_MI197,Under30_MI227,0.0013053336759209072,0.041521238866685295,False
Under30_MI197,Under30_MI197,END_STATE,0.056329113924050635,0.8550632911392405,False
START_STATE,Under30_MI227,Under30_MI227,0.041521238866685295,0.041521238866685295,True
